kood,kasRegistrivara,arveleVoetud,ads_oid,x,y,ehrKood,peamineKasutusTekst,seisundTekst,kasulikPind,energiamargis,margiseAeg,aadresstekst
KL43859H1,true,"1996-01-02",ME00911246,6540240.73,545354.8,"109016979","Büroohoone","kasutusel",919.1,"D","2014-05-08","Rapla maakond, Rapla vald, Rapla linn, Kuusiku tee 6"
KL43861H1,true,"1996-01-02",ME00911246,6540240.73,545354.8,"109016979","Büroohoone","kasutusel",919.1,"D","2014-05-08","Rapla maakond, Rapla vald, Rapla linn, Kuusiku tee 6"
KL43862H1,true,"1996-01-02",ME00911246,6540240.73,545354.8,"109016979","Büroohoone","kasutusel",919.1,"D","2014-05-08","Rapla maakond, Rapla vald, Rapla linn, Kuusiku tee 6"
KL43863H1,true,"1998-12-21",ME01002645,6415610.13,677688.9,"113027639","Administratiivhoone","kasutusel",665.3,"G","2014-05-09","Võru maakond, Võru linn, Katariina allee 7"
KL43893H1,true,"2012-02-15",ME01111620,6606128.23,597294.91,"116043628","Büroohoone","kasutusel",944.7,"E","","Harju maakond, Loksa linn, Tallinna tn 45"
KL44006H1,true,"2011-12-20",,,,"","","",3342.3,"","",""
KL44007H1,true,"2011-12-20",ME01648783,6429668.22,715287.82,"110025072","Muu haridus- või teadushoone, nagu näiteks labor, õppetöökoda, ilmajaam ja observatoorium","kasutusel",646.3,"","","Põlva maakond, Värska vald, Värska alevik, Pikk tn 30"
KL44015H1,true,"1997-01-08",ME00957846,6415788.19,677754.38,"113018958","Büroohoone","kasutusel",1988.1,"","","Võru maakond, Võru linn, Jüri tn 12"
KL44025H1,true,"1996-01-02",,,,"","","",,"","",""
KL44026H1,true,"1996-01-02",,,,"","","",,"","",""
KL44027H1,true,"1996-01-02",,,,"","","",,"","",""
KL44028H1,true,"1998-12-03",ME00947123,6578432.23,634881.89,"108021124","Büroohoone","kasutusel",1589.5,"H","2014-05-09","Lääne-Viru maakond, Vinni vald, Piira küla, C. T. von Neffi tn 2"
KL44029H1,true,"1998-12-03",ME00947123,6578432.23,634881.89,"108021124","Büroohoone","kasutusel",1589.5,"H","2014-05-09","Lääne-Viru maakond, Vinni vald, Piira küla, C. T. von Neffi tn 2"
KL44035H1,true,"2000-12-20",ME01052689,6513262.31,638331.47,"120169968","Veterinaarravila","kasutusel",2201.0,"F","2014-05-09","Jõgeva maakond, Jõgeva linn, Ravila tn 10"
KL44036H1,true,"2000-12-20",ME01052689,6513262.31,638331.47,"120169968","Veterinaarravila","kasutusel",2201.0,"F","2014-05-09","Jõgeva maakond, Jõgeva linn, Ravila tn 10"
KL44037H1,true,"2000-12-20",ME01052689,6513262.31,638331.47,"120169968","Veterinaarravila","kasutusel",2201.0,"F","2014-05-09","Jõgeva maakond, Jõgeva linn, Ravila tn 10"
KL44038H1,true,"2000-12-20",ME01052689,6513262.31,638331.47,"120169968","Veterinaarravila","kasutusel",2201.0,"F","2014-05-09","Jõgeva maakond, Jõgeva linn, Ravila tn 10"
KL44039H1,true,"1998-12-21",EE00762950,6474050.4,658357.2,"104029802","Muu kolme või enama korteriga elamu","kasutusel",784.3,"","","Tartu maakond, Tartu linn, Kooli tn 13"
KL44040H1,true,"1996-04-15",ME00706368,6472628.48,526912.26,"103016678","Veterinaarravila","kasutusel",2278.8,"A","","Pärnu maakond, Pärnu linn, Haapsalu mnt 86"
KL44041H1,true,"1996-04-15",ME00706368,6472628.48,526912.26,"103016678","Veterinaarravila","kasutusel",2278.8,"A","","Pärnu maakond, Pärnu linn, Haapsalu mnt 86"
KL44042H1,true,"1995-11-23",ME01033537,6470250.2,593299.62,"112016984","Büroohoone","kasutusel",2193.8,"E","2014-09-24","Viljandi maakond, Viljandi linn, Vabaduse plats 4"
KL44069H1,true,"1995-11-23",ME01033537,6470250.2,593299.62,"112016984","Büroohoone","kasutusel",2193.8,"E","2014-09-24","Viljandi maakond, Viljandi linn, Vabaduse plats 4"
KL44092H1,true,"1997-11-27",,,,"","","",,"","",""
KL44117H1,true,"2012-02-06",ME00653344,6588743.48,542446.84,"101036564","Kohtuhoone","kasutusel",4045.5,"F","2010-01-04","Harju maakond, Tallinn, Kesklinna linnaosa, Pärnu mnt 7"
KL44122H1,true,"2012-01-02",,,,"120233498","","",36834.7,"","",""
KL44127H1,true,"1997-06-18",,,,"6639600771","","",714.2,"","",""
KL44140H2,true,"1997-04-14",,,,"","","kasutusel",1384.0,"","",""
KL44141H1,true,"1997-06-18",,,,"6639600771","","",714.2,"","",""
KL44142H1,true,"1997-01-08",,,,"","","",1574.8,"","",""
KL44142H2,true,"1997-01-08",,,,"","","",182.1,"","",""
KL44143H1,true,"1996-01-02",,,,"","","",1288.0,"","",""
